Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)	larger estimate
DK		FI	BR	4.865358527	4.971979103	2
FI			BR	357.2168704	365.0450024	2
SE		FI	BR	10.05781954	10.27822889	2
DK	CH	FI	BR	0.174598139	0.178424322	2
TW		FI	BR	8.525399202	8.712226744	2
n.a.		FI	BR	0.772123016	0.789043496	2
AU		FR	BR	1.964991854	2.075564894	2
AT		FR	BR	7.486977109	7.908280545	2
BE		FR	BR	17.53149883	18.51802257	2
n.a.	BE	FR	BR	0.022526636	0.023794244	2
CA		FR	BR	1.245122354	1.315187258	2
US	KY	FR	BR	0.469478625	0.495896892	2
CN		FR	BR	28.14548891	29.7292778	2
US	CW	FR	BR	61.35698129	64.80963069	2
DK		FR	BR	0.29447323	0.31104368	2
FR			BR	18646.84865	19696.1348	2
DE		FR	BR	121.937163	128.7987502	2
IR		FR	BR	0.781735751	0.825725195	2
GB	IM	FR	BR	0.028282828	0.029874345	2
IT		FR	BR	10.17651603	10.74916386	2
JP		FR	BR	99.69965671	105.309906	2
IT	JY	FR	BR	2.687313988	2.838533178	2
GB	JY	FR	BR	10.93971275	11.5553068	2
LB		FR	BR	7.955726788	8.403407472	2
FR	LU	FR	BR	4.495776661	4.74876076	2
IN	LU	FR	BR	32.78265325	34.62738233	2
SA	LU	FR	BR	1.218434343	1.286997472	2
US	LU	FR	BR	6.050876029	6.391367902	2
n.a.	LU	FR	BR	0.211876856	0.223799484	2
BE	NL	FR	BR	307.8836611	325.2087367	2
FR	NL	FR	BR	392.580221	414.6712991	2
NL		FR	BR	0.016246853	0.017161087	2
SE	NL	FR	BR	3.250697302	3.433618917	2
US	NL	FR	BR	31.24919743	33.00763666	2
n.a.	NL	FR	BR	0.323323323	0.341517212	2
PT		FR	BR	0.315077273	0.332807144	2
RU		FR	BR	12.48924039	13.19202869	2
SE		FR	BR	8.103517539	8.55951463	2
CH		FR	BR	495.1406572	523.0029649	2
n.a.	CH	FR	BR	0.644416701	0.680678996	2
TW		FR	BR	3.982167353	4.206249885	2
FR	GB	FR	BR	5.658321462	5.976723701	2
GB		FR	BR	218.7737031	231.0844277	2
US	GB	FR	BR	7.094474153	7.493690859	2
US		FR	BR	54.02722719	57.06742033	2
n.a.		FR	BR	22.02161268	23.26080187	2
n.a.		1	BR		1.26599625	2
n.a.		GA	BR		0.91205726	2
AU		DE	BR	10.80253108	8.663978962	1
AT		DE	BR	46.0552847	36.93782641	1
BR		DE	BR	28.52990521	22.8819058	1
CA		DE	BR	32.78997193	26.29861696	1
CN	KY	DE	BR	5.918669872	4.746964473	1
US	KY	DE	BR	1.554605076	1.246843501	1
HK		DE	BR	0.228069125	0.182918807	1
CN		DE	BR	30.31462537	24.31330904	1
DK		DE	BR	3.690757888	2.960107077	1
FR		DE	BR	22.88832679	18.35717762	1
DE			BR	14855.09887	11914.26928	1
IL		DE	BR	21.27495581	17.06320197	1
IT		DE	BR	1.909104867	1.531163788	1
JP		DE	BR	153.0497276	122.7508267	1
FR	LU	DE	BR	0.183004712	0.146775692	1
DE	LU	DE	BR	25.99257299	20.84688338	1
SE	LU	DE	BR	2.273770706	1.823637573	1
US	LU	DE	BR	19.87502765	15.94041435	1
BE	NL	DE	BR	11.5045486	9.227019693	1
DE	NL	DE	BR	2.9432045	2.360545106	1
n.a.	NL	DE	BR	0.004316374	0.003461871	1
SK		DE	BR	0.150365935	0.120598338	1
SE		DE	BR	1.484934892	1.190965763	1
DE	CH	DE	BR	0.865741045	0.694352291	1
CH		DE	BR	35.23126655	28.25661412	1
n.a.	CH	DE	BR	0.416666667	0.334180129	1
TR		DE	BR	1.94011976	1.556038734	1
GB		DE	BR	85.16917627	68.30843124	1
US		DE	BR	139.6327829	111.9900035	1
n.a.		DE	BR	0.869682689	0.697513617	1
n.a.		GI	BR		10.47938192	2
GR			BR	2.492517564	0.488054965	1
BE	NL	GR	BR	14.23155271	2.786652365	1
n.a.		GD	BR		0.32719519	2
n.a.		GT	BR		0.60197606	2
GB	GG		BR	30.53823716	151.9829988	2
n.a.		1	BR		0.94109924	2
n.a.		GW	BR		0.76828519	2
n.a.		HN	BR		5.00330245	2
HU			BR	4.82421875	32.34128176	2
TW		HU	BR	52.05978647	349.005779	2
IS			BR	18.67258954	6.43013576	1
IN			BR	1396.551249	91.78746224	1
n.a.		ID	BR		40.62343066	2
n.a.		IR	BR		113.5595464	2
IT	BM	IE	BR	20.96738345	34.58463867	2
US	BM	IE	BR	139.228097	229.6497051	2
BE	IE		BR	2.208117444	3.642178058	2
DE	IE		BR	1.012953368	1.670815355	2
IE			BR	28.9452269	47.743688	2
GB	IE		BR	38.2748732	63.13246777	2
US	IE		BR	712.6946968	1175.553861	2
IT		IE	BR	657.325511	1084.225189	2
US		IE	BR	6.484420803	10.69572419	2
n.a.		IM	BR		43.78752654	2
IN		IL	BR	42.70340335	12.43935993	1
IL			BR	151.8522887	44.23406865	1
IL	PA	IL	BR	528.6158015	153.9840318	1
US		IL	BR	0.39957092	0.116393685	1
AT		IT	BR	1.484364604	0.393190064	1
CA		IT	BR	1.8182971	0.481644706	1
CN	HK	IT	BR	269.7962697	71.46573846	1
FR		IT	BR	1299.370863	344.1874801	1
DE		IT	BR	16.39993627	4.344142925	1
IT			BR	14586.67125	3863.831155	1
JP		IT	BR	431.1960657	114.2185742	1
IT	JY	IT	BR	4.473259654	1.184911878	1
SE	JY	IT	BR	20.49345254	5.428465414	1
HR	LU	IT	BR	0.980406746	0.263383018	1
FR	LU	IT	BR	4.830217922	1.29762201	1
IT	LU	IT	BR	45.16681516	12.13391495	1
CH	LU	IT	BR	1.433300895	0.385051527	1
GB	LU	IT	BR	15.45111056	4.150889559	1
US	LU	IT	BR	7.785229541	2.091476071	1
n.a.	LU	IT	BR	1.225831956	0.329315686	1
MY		IT	BR	36.75969571	9.737194669	1
IT	MC	IT	BR	46.66001722	12.35966899	1
IT	NL	IT	BR	435.5998863	115.3850925	1
NL		IT	BR	11.72317752	3.105326621	1
SE	NL	IT	BR	4.021232959	1.065175524	1
n.a.	PA	IT	BR	0.29701081	0.078674538	1
RU		IT	BR	0.124064577	0.032863192	1
SA		IT	BR	0.278024691	0.073645347	1
CH		IT	BR	11.92661623	3.159215051	1
IT	GB	IT	BR	6.447804701	1.707944757	1
GB		IT	BR	0.197541511	0.052326335	1
US	GB	IT	BR	100.8827549	26.72261029	1
US		IT	BR	82.4391617	21.8371276	1
n.a.		IT	BR	0.393229167	0.104161606	1
JP			BR	14492.20864	18943.25576	2
SG		JP	BR	7.252264362	9.479679877	2
SE		JP	BR	6.229820176	8.143208523	2
ES	JY		BR	33.89407963	33.79826182	1
CH	JY		BR	135.8314372	135.4474447	1
GB	JY		BR	411.514754	410.3514109	1
KR			BR	5171.337797	2825.702852	1
KW			BR	12.98028912	-0.0514348	1
n.a.		LA	BR		0.00340255	2
n.a.		LV	BR		0.60962404	2
n.a.		LB	BR		21.43161764	2
n.a.		LR	BR		21.47395034	2
LI			BR	7.159215216	57.04006018	2
SE	LI		BR	3.825306252	30.47760016	2
AR		LU	BR	100.979777	359.9376296	2
BE		LU	BR	6.812579221	24.28311577	2
CA		LU	BR	447.6856326	1595.754221	2
CA	KY	LU	BR	9.070692658	32.3320541	2
US	KY	LU	BR	1.833635055	6.535905256	2
CN	HK	LU	BR	18.71856287	66.72143026	2
CN		LU	BR	0.010852223	0.038682233	2
FR		LU	BR	14.8045053	52.76995752	2
DE		LU	BR	47.14552886	168.0480033	2
IN		LU	BR	9.491267465	33.83117307	2
US	IE	LU	BR	126.2457298	449.996921	2
IT		LU	BR	1861.321832	6634.593458	2
AR	LU		BR	10.37872745	36.99448211	2
BR	LU		BR	21.93342116	78.18064027	2
FR	LU		BR	2.812321466	10.02438658	2
IN	LU		BR	2558.932185	9121.1925	2
IT	LU		BR	7.132542242	25.4236088	2
LU			BR	76.10030729	271.2559388	2
PT	LU		BR	2870.699071	10232.47079	2
CH	LU		BR	22.97382314	81.88910381	2
GB	LU		BR	6.601197605	23.52965602	2
US	LU		BR	1156.581656	4122.580502	2
n.a.	LU		BR	0.660134277	2.353017345	2
IT	NL	LU	BR	204.7134965	729.6915566	2
NZ		LU	BR	22.42111919	79.91901676	2
PT		LU	BR	8.295260995	29.56806469	2
SE		LU	BR	17.31842109	61.73069123	2
US	GB	LU	BR	22.51014015	80.23632776	2
US		LU	BR	10.7541601	38.332694	2
IL	VG	LU	BR	79.0803173	281.8780432	2
MY			BR	37.62624733	57.95498256	2
DE	MT		BR	0.164503852	0.274689117	2
PT		MT	BR	28.52150259	47.6253063	2
ID		MH	BR	1.754906173	2.710587983	2
MY		MH	BR	15.79517934	24.39687317	2
GR	MH		BR	14.77814824	22.82599017	2
n.a.		1	BR		1.33255396	2
ZA		MU	BR	3.32788671	5.668110474	2
CH		MU	BR	6.895598754	11.74469534	2
MX			BR	9040.451626	9631.529232	2
US		MX	BR	0.049839985	0.053098594	2
n.a.		MX	BR	0.067177516	0.071569677	2
n.a.	MC		BR	0.302660026	0.302660026	2
n.a.		MC	BR		106.0209501	2
n.a.		1	BR		0.94705699	2
n.a.		MA	BR		1.69418249	2
AU		NL	BR	17.08507772	114.6072452	2
AT		NL	BR	36.22177045	242.9767891	2
BE		NL	BR	5426.320541	36399.93091	2
NO	BE	NL	BR	384.1745832	2577.055332	2
HK	BM	NL	BR	8.248736545	55.3327873	2
NL	BM	NL	BR	105.5574059	708.0824384	2
US	BM	NL	BR	48.55466756	325.7062555	2
BR		NL	BR	20.5827773	138.0699253	2
CA		NL	BR	8.064905424	54.09964229	2
NL	KY	NL	BR	4.550807476	30.5269614	2
CN		NL	BR	833.3695994	5590.269799	2
BR	CW	NL	BR	9.358083832	62.77432421	2
ZA	CW	NL	BR	3.570858283	23.95343103	2
GB	CW	NL	BR	8.43626001	56.59070067	2
US	CW	NL	BR	24.979092	167.5605442	2
US	CY	NL	BR	2.89955252	19.4502906	2
n.a.	CY	NL	BR	0.527430556	3.538020955	2
DK		NL	BR	31.15462417	208.9862106	2
FI		NL	BR	47.37144573	317.7691658	2
FR		NL	BR	148.3499417	995.1361308	2
DE		NL	BR	196.9417521	1321.091542	2
GR		NL	BR	18.28479342	122.6549763	2
IN		NL	BR	95.75462238	642.3250548	2
IN	IE	NL	BR	6.00370476	40.27304263	2
US	IE	NL	BR	3.609460583	24.21237648	2
n.a.	IE	NL	BR	0.517435717	3.470975258	2
IL		NL	BR	46.65768437	312.9812319	2
IT		NL	BR	11.93370189	80.05165211	2
JP		NL	BR	182.806252	1226.270157	2
LU		NL	BR	51.6913369	346.7471332	2
NL	LU	NL	BR	18.37268519	123.244557	2
NO	LU	NL	BR	63.57181335	426.4417474	2
PT	LU	NL	BR	6.362608117	42.68057777	2
US	LU	NL	BR	269.9355161	1810.736034	2
MY		NL	BR	3.441942117	23.08865728	2
MC		NL	BR	1.387312332	9.30613528	2
BR	NL		BR	452.4044087	3039.824931	2
CA	NL		BR	203.2193939	1365.484881	2
CN	NL		BR	10.0559368	67.56850021	2
CZ	NL		BR	11.6032957	77.96561414	2
FR	NL		BR	361.0808946	2426.198075	2
DE	NL		BR	114.2809254	767.8837771	2
IN	NL		BR	27.56263318	185.2006256	2
IL	NL		BR	3.993999018	26.83673624	2
IT	NL		BR	629.2474137	4228.079875	2
NL			BR	2544.719294	17098.64228	2
PT	NL		BR	353.073251	2372.392599	2
SE	NL		BR	10.52262756	70.70431895	2
GB	NL		BR	65.27915794	438.6279354	2
US	NL		BR	112.5694526	756.3839386	2
n.a.	NL		BR	6.076477676	40.82946137	2
NZ		NL	BR	2.662419841	17.85959704	2
PL		NL	BR	0.031392256	0.21058025	2
PT		NL	BR	1284.268817	8614.9161	2
SA		NL	BR	12.26758577	82.2913558	2
SG		NL	BR	8.47855868	56.8744415	2
ES		NL	BR	48.2876264	323.9149349	2
SE		NL	BR	11.99377911	80.45465202	2
CH		NL	BR	1121.470324	7522.85863	2
n.a.	CH	NL	BR	0.063705921	0.427341349	2
TW		NL	BR	17.73251029	118.9502434	2
SE	GB	NL	BR	1.187222806	7.96392837	2
GB		NL	BR	65.02989386	436.2225979	2
US		NL	BR	794.5450874	5329.833737	2
n.a.		NL	BR	0.993985754	6.667688075	2
NZ			BR	71.05502479	41.08328268	1
SG		NZ	BR	1.611111111	0.931527832	1
n.a.		1	BR		1.70979151	2
AT		NO	BR	0.221905703	0.229717975	2
NO	BM	NO	BR	64.30685623	66.57080286	2
CN		NO	BR	0.054081096	0.055985041	2
US	CW	NO	BR	35.52581973	36.77651934	2
NO	CY	NO	BR	66.70458169	69.05294113	2
US	CY	NO	BR	3.600415787	3.727169755	2
FR		NO	BR	19.34115622	20.02206877	2
n.a.	NL	NO	BR	0.653411306	0.676414892	2
NO			BR	2732.569305	2828.770417	2
SE		NO	BR	4.043183809	4.185525589	2
CH		NO	BR	0.152071706	0.157425447	2
GB		NO	BR	1185.015444	1226.73435	2
US		NO	BR	3.399215447	3.518886083	2
CL		PA	BR	27.49641076	95.85548821	2
PA			BR	374.7175398	1306.306231	2
n.a.	VG	PA	BR	8.163073238	28.45736403	2
n.a.		PY	BR		21.97643272	2
PE	BS	PE	BR	17.12156991	7.023107808	1
CL		PE	BR	9.469454438	3.884281626	1
PE			BR	81.75323196	33.53441097	1
PH			BR	30.54856989	15.89314883	1
PL			BR	1.25606745	3.79602481	2
AO		PT	BR	17.92968813	15.14724789	1
BE		PT	BR	2.581481481	2.180871169	1
BR		PT	BR	644.1885237	544.219352	1
CN		PT	BR	158.5043059	133.9066243	1
FR		PT	BR	6.99824265	5.912211938	1
IN		PT	BR	8.247175229	6.967327411	1
PT	IE	PT	BR	12.16135716	10.27408231	1
IT		PT	BR	556.9516074	470.5204016	1
PT	LU	PT	BR	0.258890324	0.218714117	1
ES	LU	PT	BR	3.147704591	2.659224264	1
GB	LU	PT	BR	35.53077307	30.01688727	1
n.a.	LU	PT	BR	0.605925926	0.511894582	1
MO	MT	PT	BR	7.353777294	6.21257251	1
FR	MT	PT	BR	2.075419783	1.753343265	1
n.a.	MT	PT	BR	0.116049383	0.09804012	1
US	NL	PT	BR	24.03310991	21.4310511	1
n.a.	PA	PT	BR	2.68377316	2.26728859	1
PT			BR	2936.070992	2480.43328	1
n.a.	WS	PT	BR	0.178249247	0.150587423	1
n.a.	SC	PT	BR	0.066049383	0.05579943	1
ES		PT	BR	86.0762485	72.71840223	1
SE		PT	BR	1.94638448	1.644332461	1
GB		PT	BR	5.26488501	4.447847491	1
n.a.	GB	PT	BR	0.277202073	0.234184135	1
US		PT	BR	4.52310848	3.821184445	1
n.a.	VG	PT	BR	1.68536261	1.423817584	1
n.a.		PT	BR	16.72110561	14.12622071	1
n.a.		QA	BR		0.09174365	2
RO			BR	0.309585492	0.97457919	2
RU	CY	RU	BR	25.42501335	31.11921258	2
n.a.	CY	RU	BR	0.002328042	0.002849432	2
GB	JY	RU	BR	3.25842281	3.988180879	2
RU			BR	1.843500712	2.256372091	2
n.a.		WS	BR		27.83694491	2
n.a.		ST	BR		0.2298093	2
SA			BR	4.611287478	3.95069581	1
n.a.		SC	BR		22.39681693	2
SG	KY	SG	BR	18.38830577	32.49633752	2
HK		SG	BR	21.69681562	38.34323032	2
IN		SG	BR	95.98738886	169.6316466	2
JP		SG	BR	53.23628512	94.08067883	2
NO		SG	BR	0.647840621	1.144882392	2
SG			BR	417.5668137	737.9359624	2
TW		SG	BR	13.59859155	24.03181817	2
US		SG	BR	51.10675381	90.31731047	2
n.a.		SK	BR		3.06497807	2
DE		SI	BR	0.434346497	0.035371883	1
SI			BR	3.98161535	0.324250877	1
ZA			BR	378.4277683	459.0794764	2
ZA	GB	ZA	BR	20.18907569	24.49183457	2
AR		ES	BR	3.249082787	4.927305734	2
AT		ES	BR	3.018705024	4.577932774	2
BE		ES	BR	16.30073253	24.72042054	2
IT	BE	ES	BR	1.812087824	2.748071167	2
ES	BE	ES	BR	13.47488162	20.43495528	2
BR		ES	BR	148.2072831	224.7596148	2
CA		ES	BR	0.053075861	0.080490714	2
CN	KY	ES	BR	7.073884141	10.72770138	2
CO		ES	BR	2.410967874	3.656285976	2
DK		ES	BR	0.890936437	1.351124764	2
EE		ES	BR	1.064670139	1.614595756	2
FR		ES	BR	281.3685615	426.7016315	2
DE		ES	BR	304.8564889	462.3215918	2
n.a.	GG	ES	BR	0.344848764	0.522970759	2
IN		ES	BR	5.96095044	9.039912864	2
IT		ES	BR	27.49149619	41.69146054	2
JP		ES	BR	123.5276003	187.3323314	2
GB	JY	ES	BR	11.14905427	16.9077868	2
KR		ES	BR	308.4094951	467.7098041	2
LR		ES	BR	3.371085352	5.112325316	2
FR	LU	ES	BR	22.66553085	34.37277762	2
IN	LU	ES	BR	227.9021642	345.6186604	2
ES	LU	ES	BR	1.756005652	2.663021316	2
US	LU	ES	BR	10.04	15.22588152	2
n.a.	LU	ES	BR	8.270749935	12.54277476	2
MX		ES	BR	26.04903433	39.50393531	2
FR	NL	ES	BR	168.2067374	255.0892285	2
IT	NL	ES	BR	228.3219332	346.2552493	2
NL		ES	BR	9.476820153	14.37180686	2
ES	NL	ES	BR	174.2284755	264.2213273	2
US	NL	ES	BR	4.008301183	6.078677183	2
n.a.	NL	ES	BR	0.889667471	1.349200349	2
NO		ES	BR	9.071531968	13.75717838	2
PL		ES	BR	1.628243513	2.469267213	2
PT		ES	BR	6.423912777	9.742005463	2
ES			BR	33785.98053	51237.18492	2
SE		ES	BR	8.103517539	12.28916314	2
ES	CH	ES	BR	1.988151508	3.015075629	2
CH		ES	BR	836.5803867	1268.692615	2
TN		ES	BR	0.160233161	0.242997123	2
AE		ES	BR	7.233758319	10.9701541	2
IT	GB	ES	BR	2.138841406	3.243600183	2
GB		ES	BR	58.17825457	88.22860669	2
n.a.	GB	ES	BR	0.020804252	0.031550107	2
US		ES	BR	995.8888648	1510.287437	2
UY		ES	BR	0.878716049	1.332592277	2
n.a.		ES	BR	6.874417325	10.42520555	2
n.a.		LK	BR		0.02520427	2
n.a.		KN	BR		11.60165853	2
n.a.		LC	BR		0.9273583	2
n.a.		VC	BR		89.91159679	2
AT		SE	BR	5.63429047	6.630043606	2
CA		SE	BR	16.28104056	19.15840326	2
DK		SE	BR	8.016808128	9.433625715	2
FR		SE	BR	1.303483894	1.533849755	2
DE		SE	BR	83.47349373	98.22583807	2
JP		SE	BR	182.6832866	214.9690654	2
SE	JY	SE	BR	2.812055886	3.309033009	2
SE	LU	SE	BR	5.665975309	6.667328134	2
n.a.	LU	SE	BR	0.415226337	0.488609655	2
SE	NL	SE	BR	1.085586947	1.277443688	2
NO		SE	BR	0.115286346	0.135661004	2
SE			BR	2666.841316	3138.15454	2
DK	CH	SE	BR	1.285162976	1.512290964	2
CH		SE	BR	1.912790698	2.250839889	2
SE	GB	SE	BR	1.696443603	1.99625758	2
US		SE	BR	47.1348198	55.46499817	2
VE		SE	BR	1.823393486	2.145643429	2
LB	VG	SE	BR	0.233834317	0.275160063	2
n.a.		SE	BR	1.059020583	1.246182227	2
AT		CH	BR	6.396417433	8.233207945	2
BR		CH	BR	13.19599021	16.98534102	2
DK		CH	BR	4.814869991	6.197504506	2
FR		CH	BR	27.97962596	36.01423471	2
DE		CH	BR	96.60888065	124.3510156	2
IN		CH	BR	60.07983364	77.33231435	2
US	IE	CH	BR	17.84206901	22.96558438	2
JP		CH	BR	312.3243425	402.0111703	2
CH	JY	CH	BR	90.61842538	116.6403456	2
NL		CH	BR	173.4675376	223.2803478	2
SE	NL	CH	BR	3.250697302	4.184165142	2
RU		CH	BR	42.79941377	55.08966186	2
ES		CH	BR	15.10304391	19.44002286	2
SE		CH	BR	10.03281718	12.91383356	2
BR	CH		BR	3683.090354	4740.723863	2
DE	CH		BR	14.0236285	18.05064332	2
IT	CH		BR	20.95096014	26.9672224	2
CH			BR	4627.328496	5956.108733	2
US	CH		BR	247.4749292	318.5396474	2
n.a.	CH		BR	4.362913047	5.615763939	2
GB		CH	BR	100.1892859	128.9595674	2
US	GB	CH	BR	16.86024691	21.70182298	2
US		CH	BR	189.9433432	244.4873336	2
TW			BR	98.8174276	18.09003235	1
TH			BR	49.59281281	30.47341873	1
n.a.		TN	BR		0.045487	2
TR			BR	18.4319096	10.07101172	1
UA			BR	9.984995252	9.984995252	2
n.a.		UA	BR		91.04371892	2
AE			BR	60.6879684	35.46049827	1
AU		GB	BR	10.91212557	10.59543787	1
BE		GB	BR	3.667024925	3.560601876	1
GB	BM	GB	BR	10.5857469	10.27853125	1
BR		GB	BR	156.5852138	152.0408554	1
US	KY	GB	BR	12.37437575	12.01525117	1
CN		GB	BR	9.082901554	8.819300928	1
FR		GB	BR	304.7622087	295.9175121	1
DE		GB	BR	22.76416238	22.10350923	1
GB	GG	GB	BR	6.729390438	6.534092545	1
US	GG	GB	BR	44.0438291	42.7656053	1
IN		GB	BR	56.55243054	54.91118671	1
IT		GB	BR	9.093043287	8.829148331	1
JP		GB	BR	125.2185558	121.584509	1
CH	JY	GB	BR	1.193114996	1.158488852	1
GB	JY	GB	BR	17.34375858	16.8404144	1
US	JY	GB	BR	2.922045855	2.837243316	1
KW		GB	BR	161.8338413	157.1371591	1
n.a.	LI	GB	BR	0.130335097	0.12655256	1
KZ	LU	GB	BR	104.9750712	101.9285233	1
CH	LU	GB	BR	0.130395798	0.126611499	1
GB	LU	GB	BR	0.492746114	0.478445818	1
DE	MT	GB	BR	0.42387218	0.411570718	1
HK	MU	GB	BR	0.260362694	0.252806544	1
NL		GB	BR	0.415155385	0.403106898	1
NO		GB	BR	0.907050754	0.880726661	1
SG		GB	BR	2.847736626	2.765090661	1
ZA		GB	BR	13.8228318	13.42167066	1
SE		GB	BR	8.502395345	8.255641956	1
